id,V1,V2,V3,Class
1,291,802,0.575356,2
2,234,656,0.588769,2
3,332,698,0.451603,2
4,352,772,0.567596,2
5,41,809,0.754151,2
6,373,892,0.532364,2
7,447,950,0.728869,2
8,364,974,0.709051,2
9,360,955,0.488839,3
10,369,915,0.564451,2
11,230,811,0.610693,4
12,83,623,0.649713,5
13,118,654,0.603097,5
14,167,617,0.548863,4
15,350,725,0.708345,3
16,128,814,0.703275,5
17,465,795,0.659438,5
18,310,918,0.358435,4
19,483,710,0.582167,3
20,546,974,0.698287,3
21,536,813,0.553168,3
22,945,842,0.670926,3
23,969,857,0.691358,4
24,805,574,0.68932,3
25,679,630,0.438211,4
26,399,799,0.552132,4
27,424,800,0.557236,4
28,359,679,0.55508,4
29,255,721,0.494065,4
30,480,872,0.543987,4
31,278,16,0.364165,1
32,386,16,0.354607,1
33,411,20,0.421645,1
34,490,34,0.46413,1
35,518,18,0.350272,1
36,571,21,0.434078,1
37,600,19,0.392891,1
38,236,24,0.353788,1
39,679,25,0.366338,1
40,28,28,0.367555,1
41,65,29,0.373544,1
42,850,29,0.400424,1
43,922,31,0.377356,1
44,76,38,0.355741,1
45,321,46,0.414738,1
46,51,48,0.481029,1
47,422,46,0.391391,1
48,181,46,0.351995,1
49,280,54,0.396019,1
50,598,55,0.454381,1
51,956,53,0.359401,1
52,371,56,0.392774,1
53,385,59,0.444237,1
54,970,58,0.360596,1
55,656,62,0.351802,1
56,991,63,0.37766,1
57,349,66,0.381626,1
58,222,68,0.410593,1
59,436,66,0.354035,1
60,529,69,0.411394,1
61,442,76,0.401082,1
62,275,78,0.419826,1
63,868,80,0.417142,1
64,714,79,0.359181,1
65,401,91,0.476023,1
66,545,89,0.481404,1
67,94,86,0.442358,1
68,368,88,0.453674,1
69,672,86,0.374963,1
70,459,90,0.381103,1
71,825,88,0.372037,1
72,429,97,0.478076,1
73,729,95,0.377494,1
74,769,97,0.384945,1
75,698,129,0.489194,1
76,740,109,0.398342,1
77,20,112,0.42063,1
78,163,112,0.367751,1
79,618,110,0.357261,1
80,432,128,0.545914,1
81,531,112,0.377387,1
82,760,119,0.355253,1
83,641,122,0.413516,1
84,213,128,0.408003,1
85,476,122,0.360569,1
86,84,130,0.417641,1
87,179,128,0.38408,1
88,979,132,0.683198,1
89,762,131,0.377932,1
90,851,130,0.40856,1
91,634,131,0.358265,1
92,302,138,0.364846,1
93,521,146,0.493271,1
94,407,147,0.418145,1
95,828,150,0.370332,1
96,169,158,0.438179,1
97,203,161,0.510163,1
98,453,159,0.471501,1
99,45,164,0.467657,1
100,109,165,0.460258,1
101,414,160,0.401825,1
102,795,163,0.437143,1
103,673,164,0.393024,1
104,734,171,0.432139,1
105,864,166,0.355407,1
106,422,179,0.490548,1
107,307,175,0.377531,1
108,504,175,0.3672,1
109,488,202,0.431069,1
110,223,186,0.542412,1
111,259,182,0.373892,1
112,606,187,0.418323,1
